Name	DMD_mean_TPM	WT_mean_TPM	log2FC
ENSMUST00000031243.15	69.444322	0.563595	5.493545
ENSMUST00000116304.3	43.188089	0.000000	5.465586
ENSMUST00000015667.9	139.298699	2.225894	5.442659
ENSMUST00000146468.4	101.765183	1.456659	5.386510
ENSMUST00000207870.2	39.788249	0.000000	5.350082
ENSMUST00000134453.2	33.905514	0.000000	5.125383
ENSMUST00000226585.2	31.560421	0.000000	5.025047
ENSMUST00000212806.2	260.295989	7.917231	4.872945
ENSMUST00000117373.8	57.748649	1.178707	4.753012
ENSMUST00000143511.2	25.448803	0.000000	4.725131
